country,year,NY.GDP.PCAP.CD
China,2025,13861.970224368
China,2024,13293.1162269366
China,2023,12951.1782397043
China,2022,12970.6056414327
China,2021,12887.4357242941
China,2020,10627.4637989619
China,2019,10342.9009524335
China,2018,10085.6638148819
China,2017,8979.67652709856
China,2016,8254.86859320357
China,2015,8175.33285077393
China,2014,7781.06597484974
China,2013,7147.03518622344
China,2012,6405.0574241349
China,2011,5703.76027973346
China,2010,4629.24551710077
China,2009,3898.24459158811
China,2008,3523.44302065213
China,2007,2734.72709877693
China,2006,2129.25696999613
China,2005,1777.64496828464
China,2004,1530.92726215723
China,2003,1306.97245408557
China,2002,1163.55957673426
China,2001,1065.40597574519
China,2000,969.199513696287
Germany,2025,60496.4350820414
Germany,2024,56103.7323182554
Germany,2023,54776.7668235491
Germany,2022,50506.5179638543
Germany,2021,52349.2459994422
Germany,2020,47394.8734504469
Germany,2019,47656.199739747
Germany,2018,48916.1686612154
Germany,2017,45553.9341495339
Germany,2016,42948.9381932694
Germany,2015,41929.7549110722
Germany,2014,48959.5991203133
Germany,2013,47206.8353514242
Germany,2012,44718.0159214069
Germany,2011,47630.9761883572
Germany,2010,42396.9665976293
Germany,2009,42471.8868625226
Germany,2008,46379.1647953479
Germany,2007,42350.9217211489
Germany,2006,36980.3349948954
Germany,2005,35084.4363546269
Germany,2004,34566.7359143735
Germany,2003,30711.1022511331
Germany,2002,25486.5942008748
Germany,2001,23878.3641471651
Germany,2000,23925.8559901991
United States,2025,90026.5163005744
United States,2024,86169.6641581917
United States,2023,82586.7847707894
United States,2022,78008.6895811877
United States,2021,71441.2319805947
United States,2020,64465.2971415748
United States,2019,65227.9565911038
United States,2018,62875.6661382728
United States,2017,60047.7190728307
United States,2016,57976.628204291
United States,2015,56849.4697923159
United States,2014,55153.3940182967
United States,2013,53297.3862901595
United States,2012,51708.3940614082
United States,2011,50024.8812320773
United States,2010,48642.6312088213
United States,2009,47194.9500893872
United States,2008,48570.0594269601
United States,2007,48050.227412195
United States,2006,46301.9876485519
United States,2005,44123.3996470026
United States,2004,41724.6411982614
United States,2003,39490.3023903176
United States,2002,37997.7424300242
United States,2001,37133.6203973517
United States,2000,36329.9702595751
